PSR,Edot,Bstar,P,Ecl,Lgamma,Ea,Ecb,E10,Gammas,E0,d,b
J1048−5832,36.30102999566398,12.672097857935718,2.0923696996291206,0.6180480967120927,35.27875360095283,0.98,0.00,15.40,0.3654879848908996,0.26717172840301384,-0.2549252084179425,-0.5543957967264024
J1055−6028,36.079181246047625,12.361727836017593,1.9986951583116557,0.5987905067631151,34.53147891704226,1.22,1.37,14.20,0.35602585719312274,0.3222192947339193,-0.2298847052128984,-0.17587416608345102
J1057−5226,34.47712125471966,12.146128035678238,2.2946866242794433,0.18184358794477254,32.49136169383427,1.26,0.91,6.78,0.3242824552976926,0.14921911265537988,0.01703333929878037,-0.07109230975604734
J1105−6107,36.39794000867204,12.146128035678238,1.8007170782823851,0.5634810853944107,34.204119982655925,0.52,1.21,9.61,0.41161970596323016,0.31806333496276157,-0.19586056766464957,-0.17587416608345102
J1112−6103,36.653212513775344,12.278753600952829,1.8129133566428555,0.7701152947871016,34.72427586960079,0.55,2.48,16.20,0.42975228000240795,0.6127838567197355,-0.2062096153091813,-0.17587416608345102
J1119−6127,36.36172783601759,13.740362689494244,2.61066016308988,0.9854264740830017,35.568201724066995,0.45,5.22,27.70,0.34830486304816066,0.31175386105575426,-0.6216020990518624,-0.17587416608345102
J1124−3653*,34.230448921378276,8.204119982655925,0.38021124171160603,0.5428254269591799,33.17609125905568,1.96,1.13,15.50,0.250420002308894,0.12710479836480765,-0.3036436112666679,-0.17587416608345102
J1124−5916,37.079181246047625,13.146128035678238,2.1319392952104246,0.5786392099680724,35.25527250510331,0.36,1.28,8.97,0.35410843914740087,-0.022276394711152253,-0.438898616350944,-0.17587416608345102
J1125−5825,34.89762709129044,8.763427993562937,0.4913616938342727,0.5237464668115644,33.36172783601759,3.02,1.06,18.60,0.24797326636180664,0.359835482339888,-0.1290111862394247,-0.17587416608345102
J1125−6014,33.93951925261862,8.146128035678238,0.414973347970818,0.24797326636180664,32.55630250076729,1.87,0.41,9.22,0.31175386105575426,0.292256071356476,0.10037054511756291,-0.17587416608345102
J1137+7528,33.90848501887865,8.079181246047625,0.3979400086720376,0.2648178230095365,33.04139268515822,3.20,0.41,12.60,0.20951501454263097,0.40483371661993806,0.17897694729316943,-0.17587416608345102
J1151−6108,35.591064607026496,12.146128035678238,2.0068937079479006,0.3961993470957364,33.778151250383644,1.39,0.68,10.10,0.32633586092875144,0.21218760440395779,-0.10017949757290372,-0.17587416608345102
J1207−5050,33.27875360095283,8.342422680822207,0.6812412373755872,0.250420002308894,32.963787827345556,1.75,0.41,8.93,0.26717172840301384,0.18752072083646307,0.029383777685209667,-0.17587416608345102
